Genre,Number of Reviews,Rating,Size,Version,Min Price,Max Price,Age,Month,Day,Year,Min Downloads,Minimum Android Version,Interactive Element Score
Communication,73158586,4.3,-1.0,-1.0,65.0,26000.0,3,6,22,2020,1000000000,-1,7
Maps & Navigation,189,4.0,2.5,1.0,0.0,0.0,3,11,4,2018,50000,4.0,0
Art & Design,473,4.6,5.6,1.0,800.0,800.0,3,12,4,2019,50000,4.1,0
Art & Design,5549,4.7,5.9,1.0,0.0,0.0,3,5,27,2019,100000,4.1,0
Social,13767,4.3,29.0,1.0,71.0,7000.0,18,6,25,2020,1000000,4.2,8
Entertainment,19582,4.2,64.0,1.0,0.0,0.0,12,6,5,2020,10000000,4.1,0
Business,39,4.1,30.0,2.0,0.0,0.0,3,6,22,2020,1000,4.2,5
Action,438049,4.0,96.0,2.0,85.0,8500.0,16,6,22,2020,50000000,4.4,3
Entertainment,46,3.6,98.0,0.0,0.0,0.0,3,8,27,2018,1000,8.0,0
Action,580,3.7,39.0,7.0,0.0,0.0,3,12,31,2019,100000,4.1,3
Racing,3817192,4.4,133.0,1.0,10.0,1600.0,3,6,25,2020,100000000,4.2,4
Travel & Local,1384,4.0,13.0,3.0,0.0,0.0,3,6,2,2020,100000,4.1,0
Shopping,12038817,4.5,32.0,7.0,0.0,0.0,12,6,13,2020,100000000,5.1,3
Business,17622,4.2,30.0,12.0,0.0,0.0,3,6,15,2020,1000000,5.0,0
Communication,34,4.6,9.3,1.0,0.0,0.0,3,6,15,2020,10000,4.1,0
Video Players & Editors,81498,4.5,32.0,4.0,0.0,0.0,3,6,16,2020,10000000,5.0,0
Food & Drink,8,4.1,11.0,4.0,0.0,0.0,3,6,24,2020,1000,4.4,0
Shopping,45,4.4,7.5,1.0,0.0,0.0,3,10,28,2019,1000,4.1,0
Lifestyle,1305,2.4,59.0,1.0,0.0,0.0,3,3,30,2020,100000,4.4,0
Entertainment,130,4.5,50.0,11.0,0.0,0.0,12,3,9,2020,5000,4.1,4
Business,165,4.5,4.7,1.0,0.0,0.0,3,4,12,2020,5000,4.4,0
Board,64455,4.0,16.0,2.0,0.0,0.0,3,5,17,2020,10000000,4.2,0
Finance,1145143,4.1,15.0,8.0,0.0,0.0,3,6,19,2020,10000000,4.4,2
Education,113758,4.7,-1.0,-1.0,10.0,26000.0,3,6,26,2020,5000000,-1,2
Tools,8907,4.5,24.0,3.0,0.0,0.0,3,6,12,2020,500000,5.0,0
Productivity,1424,4.0,7.1,1.0,0.0,0.0,3,5,21,2020,100000,4.2,0
Communication,91326,3.9,4.6,5.0,0.0,0.0,3,9,7,2018,5000000,4.0.3,1
Tools,23,4.4,14.0,5.0,2499.0,3850.0,3,5,28,2020,1000,6.0,0
Tools,3442,4.4,8.8,4.0,83.78,1700.0,3,2,19,2020,100000,4.0,0
Tools,14157,4.2,9.1,17.0,110.91,512.75,3,1,27,2020,500000,5.0,5
Tools,98,4.3,13.0,1.0,0.0,0.0,3,3,19,2020,10000,5.0,0
Photography,15697,4.2,18.0,5.0,0.0,0.0,3,6,22,2020,1000000,4.1,0
Lifestyle,1489256,4.2,60.0,25.0,50.0,12000.0,18,6,23,2020,50000000,5.0,3
Action,308287,4.0,37.0,11.0,75.68,1400.0,16,6,26,2020,50000000,4.1,3
Action,984027,4.2,82.0,5.0,80.0,8900.0,12,6,19,2020,50000000,4.1,3
Role Playing,2508998,4.3,76.0,2.0,131.25,4750.0,3,2,27,2020,100000000,4.1,2
Action,13147918,4.4,-1.0,-1.0,64.53,8700.0,18,6,16,2020,100000000,-1,2
Entertainment,113203,4.0,28.0,2.0,0.0,0.0,12,6,20,2020,10000000,4.4,1
Music & Audio,3195455,4.5,22.0,8.0,10.0,2442.32,12,6,18,2020,100000000,4.1,3
Personalization,17899,4.3,2.2,1.0,0.0,0.0,3,2,23,2019,1000000,4.1,0
Tools,7421,4.5,10.0,5.0,170.0,1800.0,3,6,17,2020,1000000,4.1,0
Simulation,2200374,4.4,117.0,12.0,60.0,12000.0,12,6,25,2020,10000000,5.0,3
Casino,200307,4.2,25.0,38.0,10.0,26000.0,12,3,3,2020,10000000,4.0.3,7
Music & Audio,922598,4.4,47.0,7.0,70.0,1150.0,3,6,1,2020,50000000,5.0,7
Music & Audio,3161,4.1,67.0,3.0,140.0,620.0,3,6,9,2020,1000000,6.0,3
Tools,1231579,4.5,6.4,2.0,0.0,0.0,3,6,4,2020,100000000,4.1,0
